,Model,Random State,Best Parameters,f1_Score,Execution Time
0,SVC(),1.0,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.9665831244778614,0.7723612785339355
1,SVC(),2.0,"{'C': 1000, 'gamma': 1, 'kernel': 'linear'}",0.9799979997999799,0.7952852249145508
2,SVC(),3.0,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",0.9665831244778614,0.8834009170532227
3,SVC(),4.0,"{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.9733226623982927,0.850517988204956
4,SVC(),5.0,"{'C': 100, 'gamma': 1, 'kernel': 'poly'}",0.9799979997999799,0.7514379024505615
5,SVC(),6.0,"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.9733226623982927,0.9236130714416504
6,SVC(),7.0,"{'C': 10, 'gamma': 1, 'kernel': 'linear'}",0.9733226623982927,0.852625846862793
7,SVC(),8.0,"{'C': 100, 'gamma': 1, 'kernel': 'linear'}",0.9733226623982927,0.9924869537353516
8,SVC(),9.0,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.9733226623982927,1.0092980861663818
9,SVC(),10.0,"{'C': 1000, 'gamma': 1, 'kernel': 'linear'}",0.9799979997999799,0.980827808380127
